T:0.203125,|0.005208333333333333,V:0.14583333333333334,|0.005208333333333333,
T:0.3125,|0.0,V:0.16666666666666666,|0.005208333333333333,
T:0.25,|0.0,V:0.21875,|0.0,
T:0.28125,|0.0,V:0.22395833333333334,|0.0,
T:0.2916666666666667,|0.0,V:0.15104166666666666,|0.005208333333333333,
T:0.234375,|0.0,V:0.20833333333333334,|0.005208333333333333,
T:0.203125,|0.0,V:0.17708333333333334,|0.005208333333333333,
T:0.234375,|0.0,V:0.15104166666666666,|0.0,
T:0.265625,|0.0,V:0.24479166666666666,|0.0,
T:0.24479166666666666,|0.0,V:0.19270833333333334,|0.005208333333333333,
T:0.234375,|0.0,V:0.09895833333333333,|0.005208333333333333,
T:0.2760416666666667,|0.0,V:0.15625,|0.0,
T:0.22395833333333334,|0.0,V:0.203125,|0.0,
T:0.203125,|0.0,V:0.18229166666666666,|0.0,
T:0.22916666666666666,|0.0,V:0.16666666666666666,|0.0,
T:0.2760416666666667,|0.0,V:0.1875,|0.0,
T:0.22916666666666666,|0.0,V:0.19791666666666666,|0.005208333333333333,
T:0.296875,|0.0,V:0.16666666666666666,|0.0,
T:0.234375,|0.0,V:0.203125,|0.005208333333333333,
T:0.234375,|0.0,V:0.171875,|0.0,
T:0.23958333333333334,|0.005208333333333333,V:0.21875,|0.0,
T:0.24479166666666666,|0.0,V:0.19270833333333334,|0.0,
T:0.2552083333333333,|0.0,V:0.23958333333333334,|0.0,
T:0.21354166666666666,|0.0,V:0.21354166666666666,|0.0,
T:0.18229166666666666,|0.005208333333333333,V:0.234375,|0.0,
T:0.2708333333333333,|0.0,V:0.17708333333333334,|0.0,
T:0.2708333333333333,|0.0,V:0.265625,|0.010416666666666666,
T:0.234375,|0.0,V:0.1875,|0.0,
T:0.18229166666666666,|0.0,V:0.21354166666666666,|0.0,
T:0.20833333333333334,|0.0,V:0.19270833333333334,|0.005208333333333333,
T:0.24479166666666666,|0.0,V:0.16145833333333334,|0.010416666666666666,
T:0.22916666666666666,|0.0,V:0.18229166666666666,|0.0,
T:0.21875,|0.0,V:0.15104166666666666,|0.0,
T:0.22395833333333334,|0.0,V:0.13541666666666666,|0.0,
T:0.2604166666666667,|0.0,V:0.1875,|0.0,
T:0.21354166666666666,|0.0,V:0.23958333333333334,|0.0,
T:0.2708333333333333,|0.0,V:0.17708333333333334,|0.0,
T:0.2552083333333333,|0.0,V:0.22916666666666666,|0.0,
T:0.21354166666666666,|0.0,V:0.20833333333333334,|0.0,
T:0.19270833333333334,|0.005208333333333333,V:0.203125,|0.005208333333333333,
T:0.23958333333333334,|0.0,V:0.19270833333333334,|0.005208333333333333,
T:0.17708333333333334,|0.0,V:0.19791666666666666,|0.005208333333333333,
T:0.24479166666666666,|0.0,V:0.22916666666666666,|0.005208333333333333,
T:0.22916666666666666,|0.0,V:0.18229166666666666,|0.0,
T:0.203125,|0.0,V:0.19791666666666666,|0.0,
T:0.19791666666666666,|0.0,V:0.19270833333333334,|0.0,
T:0.2604166666666667,|0.0,V:0.15104166666666666,|0.0,
T:0.21875,|0.005208333333333333,V:0.2708333333333333,|0.0,
T:0.22916666666666666,|0.0,V:0.15104166666666666,|0.0,
T:0.22916666666666666,|0.0,V:0.234375,|0.0,
T:0.2604166666666667,|0.0,V:0.234375,|0.0,
T:0.20833333333333334,|0.0,V:0.21354166666666666,|0.0,
T:0.19270833333333334,|0.005208333333333333,V:0.171875,|0.0,
T:0.22916666666666666,|0.0,V:0.20833333333333334,|0.0,
T:0.234375,|0.0,V:0.24479166666666666,|0.0,
T:0.2604166666666667,|0.0,V:0.203125,|0.0,
T:0.28125,|0.0,V:0.20833333333333334,|0.0,
T:0.21875,|0.010416666666666666,V:0.19791666666666666,|0.005208333333333333,
T:0.21354166666666666,|0.005208333333333333,V:0.1875,|0.005208333333333333,
T:0.234375,|0.005208333333333333,V:0.21354166666666666,|0.005208333333333333,
T:0.22916666666666666,|0.0,V:0.24479166666666666,|0.0,
T:0.203125,|0.0,V:0.21354166666666666,|0.0,
T:0.21354166666666666,|0.0,V:0.25,|0.0,
T:0.21354166666666666,|0.0,V:0.21354166666666666,|0.0,
T:0.24479166666666666,|0.0,V:0.16145833333333334,|0.0,
T:0.23958333333333334,|0.0,V:0.21875,|0.0,
T:0.20833333333333334,|0.0,V:0.21354166666666666,|0.0,
T:0.22916666666666666,|0.0,V:0.1875,|0.0,
T:0.234375,|0.0,V:0.14583333333333334,|0.0,
T:0.16666666666666666,|0.0,V:0.1875,|0.0,
T:0.21354166666666666,|0.0,V:0.1875,|0.005208333333333333,
T:0.25,|0.0,V:0.17708333333333334,|0.0,
T:0.22395833333333334,|0.0,V:0.16145833333333334,|0.005208333333333333,
T:0.23958333333333334,|0.0,V:0.11979166666666667,|0.0,
T:0.28125,|0.0,V:0.21354166666666666,|0.010416666666666666,
T:0.22395833333333334,|0.0,V:0.20833333333333334,|0.005208333333333333,
T:0.2552083333333333,|0.0,V:0.16666666666666666,|0.0,
T:0.2708333333333333,|0.0,V:0.21875,|0.0,
T:0.2916666666666667,|0.0,V:0.17708333333333334,|0.0,
T:0.2604166666666667,|0.0,V:0.23958333333333334,|0.0,
T:0.171875,|0.0,V:0.18229166666666666,|0.005208333333333333,
T:0.19270833333333334,|0.005208333333333333,V:0.20833333333333334,|0.0,
T:0.2708333333333333,|0.0,V:0.22395833333333334,|0.005208333333333333,
T:0.2552083333333333,|0.0,V:0.17708333333333334,|0.0,
T:0.2604166666666667,|0.0,V:0.19791666666666666,|0.005208333333333333,
T:0.24479166666666666,|0.0,V:0.22916666666666666,|0.0,
T:0.2604166666666667,|0.005208333333333333,V:0.22395833333333334,|0.0,
T:0.25,|0.0,V:0.19270833333333334,|0.005208333333333333,
T:0.203125,|0.0,V:0.19270833333333334,|0.005208333333333333,
T:0.19791666666666666,|0.0,V:0.16145833333333334,|0.0,
T:0.2604166666666667,|0.0,V:0.234375,|0.0,
T:0.20833333333333334,|0.0,V:0.20833333333333334,|0.0,
T:0.25,|0.0,V:0.20833333333333334,|0.0,
T:0.234375,|0.0,V:0.16145833333333334,|0.0,
T:0.23958333333333334,|0.0,V:0.20833333333333334,|0.0,
T:0.21354166666666666,|0.0,V:0.18229166666666666,|0.0,
T:0.28125,|0.0,V:0.17708333333333334,|0.010416666666666666,
T:0.2864583333333333,|0.0,V:0.20833333333333334,|0.0,
